"web-scraper-order";"foto1,foto2";"produkt";"kod";"opis";"foto1";"foto2";"foto3";"foto4";"waga";"kategoria";"cena"
"1521779960-390";"https://sklep.bestdiamonds.pl/userdata/gfx/5f4804e4907e6ed8b77d3676e18c8b17.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/350619697d7b9e31482fd63c9ddf114f.jpg";"Pierścionek EY-120 topaz";"EY-120 topaz";"Kamień centralny: topaz 0,50ct
Kamienie boczne: brylanty 0,03ct H/Si";"/userdata/gfx/5f4804e4907e6ed8b77d3676e18c8b17.jpg";"/userdata/gfx/350619697d7b9e31482fd63c9ddf114f.jpg";"/userdata/gfx/7328f800e3dea3764607fb582c566bf9.jpg";"/userdata/gfx/8eb1f340a35f3c4a6b455aca998bb7c0.jpg";"Waga: 1,40 - 1,80g";"z topazem";"430"
"1521779285-75";"https://sklep.bestdiamonds.pl/userdata/gfx/3f76ece0c53a5a38819e0254975b036d.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/7492c0b095e75e3c70cf6f2f27c18d9e.jpg";"Pierścionek EY-52 0,36ct";"EY-52 0,36ct";"Kamień centralny: brylant 0,30 ct H/Si
Kamienie boczne: brylanty 0,06 ct H/Si";"/userdata/gfx/3f76ece0c53a5a38819e0254975b036d.jpg";"/userdata/gfx/7492c0b095e75e3c70cf6f2f27c18d9e.jpg";"/userdata/gfx/408591324704d4b36946b172144f007a.jpg";"/userdata/gfx/ec87d12b784323b91146607b6c502974.jpg";"Waga: 2,00 - 2,40g";"z brylantami";"2300"
"1521779272-69";"https://sklep.bestdiamonds.pl/userdata/gfx/c1e552c13bd950048f5aaf723393b64b.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/1b0496eb29ffa39b34a756829ec7b694.jpg";"Pierścionek EY-57 0,10ct";"EY-57 0,10ct";"Brylant 0,10 ct H/Si";"/userdata/gfx/c1e552c13bd950048f5aaf723393b64b.jpg";"/userdata/gfx/1b0496eb29ffa39b34a756829ec7b694.jpg";"/userdata/gfx/2ce4e20cd90a8e3664588ec6290b7f3e.jpg";"/userdata/gfx/7e471ac9a52fb740b27dcdbe6a312650.jpg";"Waga: 2,00 - 2,40g";"z brylantami";"650"
"1521779279-72";"https://sklep.bestdiamonds.pl/userdata/gfx/97155f8dd262e01191e6d758a9a9c40f.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/ed242daba913a5de57a050dba16f8347.jpg";"Pierścionek EY-54 0,10ct";"EY-54 0,10ct";"Brylant 0,10 ct H/Si";"/userdata/gfx/97155f8dd262e01191e6d758a9a9c40f.jpg";"/userdata/gfx/ed242daba913a5de57a050dba16f8347.jpg";"/userdata/gfx/99422dc31978ca7dd2ef84f6c6caf52e.jpg";"/userdata/gfx/83751662e32c6a23fa4c1175e1b06465.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"650"
"1521780137-471";"https://sklep.bestdiamonds.pl/userdata/gfx/e88a53ef81aa3919dae449063816f5ff.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/ee69dcf59740fd1223fdec8998b3dcf2.jpg";"Pierścionek EY-396 0,28ct";"EY-396 0,28ct";"Kamień centralny: brylant 0,08 ct H/Si
Kamienie boczne: brylanty 0,20 ct H/Si";"/userdata/gfx/e88a53ef81aa3919dae449063816f5ff.jpg";"/userdata/gfx/ee69dcf59740fd1223fdec8998b3dcf2.jpg";"/userdata/gfx/5bcec35037e363550ca61ccf7d4f0bcf.jpg";"/userdata/gfx/22db2603e0aa6ce379a26102a0029aa1.jpg";"Waga: 2,30 - 2,70g";"z brylantami";"1400"
"1521779359-109";"https://sklep.bestdiamonds.pl/userdata/gfx/aaadabf92c1e8c3b8a52783eb5a3f6d8.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/6ff836d7b351f9ee9b87f7f2228ff070.jpg";"Pierścionek EY-36 0,10ct";"EY-36 0,10ct";"Brylant 0,10 ct H/Si";"/userdata/gfx/aaadabf92c1e8c3b8a52783eb5a3f6d8.jpg";"/userdata/gfx/6ff836d7b351f9ee9b87f7f2228ff070.jpg";"/userdata/gfx/4b48e9fcc1b5aff08bbadc1d18d43c2f.jpg";"/userdata/gfx/0963ed37f0daa9ea129883bf8c048d81.jpg";"Waga: 1,20 - 1,60g";"z brylantami";"650"
"1521780057-434";"https://sklep.bestdiamonds.pl/userdata/gfx/eab42166931e25c30847ae66b9ea84ca.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/960433832c4b7c395191b022140546a2.jpg";"Pierścionek EY-431 0,35ct";"EY-431 0,35ct";"Kamień centralny: brylant 0,20 ct H/Si
Kamienie boczne: brylanty 0,15 ct H/Si";"/userdata/gfx/eab42166931e25c30847ae66b9ea84ca.jpg";"/userdata/gfx/960433832c4b7c395191b022140546a2.jpg";"/userdata/gfx/7abbef4ac1dd5047ad1a0f0b38a4c941.jpg";"/userdata/gfx/59a70844d55d90caca7530832141e734.jpg";"Waga: 2,50 - 2,90g";"z brylantami";"1800"
"1521779173-21";"https://sklep.bestdiamonds.pl/userdata/gfx/856504d9b0ddebdae1322d11840ca381.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/03a3322da1318fa50a9408e5a9c629d7.jpg";"Pierścionek EY-81 0,15ct";"EY-81 0,15ct";"Brylant 0,15ct H/Si";"/userdata/gfx/856504d9b0ddebdae1322d11840ca381.jpg";"/userdata/gfx/03a3322da1318fa50a9408e5a9c629d7.jpg";"/userdata/gfx/46a2328a2834efe9cebf1a185b7e3aa3.jpg";"/userdata/gfx/37083fc8d65724efacdc7658f3aafd60.jpg";"Waga: 2,40 - 2,80g";"z brylantami";"920"
"1521779185-27";"https://sklep.bestdiamonds.pl/userdata/gfx/07d74ffbf79781e76c52a1a2a31b46c7.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/b783e84611c3dd0009a7a5de2b4d0cd7.jpg";"Pierścionek EY-78 rubin";"EY-78 rubin";"Kamień centralny: rubin 0,80 ct
Kamienie boczne: brylanty 0,04 ct H/Si";"/userdata/gfx/07d74ffbf79781e76c52a1a2a31b46c7.jpg";"/userdata/gfx/b783e84611c3dd0009a7a5de2b4d0cd7.jpg";"/userdata/gfx/343e94dd6f2e2ef735c8c84388d8a76a.jpg";"/userdata/gfx/481f9d695632fa4a4ea01beb8567e7c3.jpg";"Waga: 2,40 - 2,80g";"z rubinem";"730"
"1521779845-337";"https://sklep.bestdiamonds.pl/userdata/gfx/6cdf3e685e1fb98e510e5115f3c613c8.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/b09a0a3778f1c70870b65085201ebb6f.jpg";"Pierścionek EY-184 0,17ct";"EY-184 0,17ct";"Brylanty 0,17ct H/Si";"/userdata/gfx/6cdf3e685e1fb98e510e5115f3c613c8.jpg";"/userdata/gfx/b09a0a3778f1c70870b65085201ebb6f.jpg";"/userdata/gfx/7be34a0f17d16149592dec56a6f87e27.jpg";"/userdata/gfx/e43d082a75ce65eeb86b2dd32e463b76.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"880"
"1521779657-249";"https://sklep.bestdiamonds.pl/userdata/gfx/02d401bca9d7b91332c742614f921f88.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/39c5d2ec5bf361ffddb1fed89bc07ae0.jpg";"Pierścionek EY-231B 0,25ct";"EY-231B 0,25ct";"Brylant 0,25ct H/Si";"/userdata/gfx/02d401bca9d7b91332c742614f921f88.jpg";"/userdata/gfx/39c5d2ec5bf361ffddb1fed89bc07ae0.jpg";"/userdata/gfx/fc7b1ca0d77a6402998717a3890fd383.jpg";"/userdata/gfx/5f663205c57cfb8ab2d529f38a2a864b.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"1550"
"1521779915-369";"https://sklep.bestdiamonds.pl/userdata/gfx/d377c32b2c2d6b14973dec80e36b440e.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/4a1a9f248978a817c6585dd013940f30.jpg";"Pierścionek EY-154 0,14ct";"EY-154 0,14ct";"Brylanty 0,14ct H/Si";"/userdata/gfx/d377c32b2c2d6b14973dec80e36b440e.jpg";"/userdata/gfx/4a1a9f248978a817c6585dd013940f30.jpg";"/userdata/gfx/189d7162e39343d5ba93b51100dd56e0.jpg";"/userdata/gfx/b2b62c9326191cbcb4048b9a9fb223fa.jpg";"Waga: 1,50 - 2,20g";"z brylantami";"730"
"1521779155-13";"https://sklep.bestdiamonds.pl/userdata/gfx/4ad2310f983908ccd03a9e26ed309f80.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/a94e1b1af1ed6ba0e8aba6077a6f68f3.jpg";"Pierścionek EY-87 tanzanit";"EY-87 tanzanit";"Kamień centralny: tanzanit 0,50 ct
Kamienie boczne: brylanty 0,20 ct H/Si";"/userdata/gfx/4ad2310f983908ccd03a9e26ed309f80.jpg";"/userdata/gfx/a94e1b1af1ed6ba0e8aba6077a6f68f3.jpg";"/userdata/gfx/6422589e50aadd8fb484f48e52ef1647.jpg";"/userdata/gfx/b0d2d0bbad6f9116c9a451e8ea84c2e5.jpg";"Waga: 2,80 - 3,20g";"z tanzanitem";"1220"
"1521779788-311";"https://sklep.bestdiamonds.pl/userdata/gfx/6470e9fcdfcb4d9fbf52abb6c9c66e8e.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/01bac630ed5c2fa210dc0b35beb63cb4.jpg";"Pierścionek EY-2 cytryn";"EY-2 cytryn";"Kamień centralny: cytryn 0,60ct
Kamienie boczne: brylanty 0,03ct H/Si";"/userdata/gfx/6470e9fcdfcb4d9fbf52abb6c9c66e8e.jpg";"/userdata/gfx/01bac630ed5c2fa210dc0b35beb63cb4.jpg";"/userdata/gfx/57b0829a4ac00bf6133c627e2388ab59.jpg";"/userdata/gfx/c188a64711688b7a9d2dbe05576c1a22.jpg";"Waga: 2,50 - 2,90g";"z cytrynem";"550"
"1521779760-298";"https://sklep.bestdiamonds.pl/userdata/gfx/efd52ea55e6b70dd201004176c6d5f24.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/b543260185db347ca44b81f066c983c4.jpg";"Pierścionek EY-208 0,08ct";"EY-208 0,08ct";"Brylant 0,08ct H/Si";"/userdata/gfx/efd52ea55e6b70dd201004176c6d5f24.jpg";"/userdata/gfx/b543260185db347ca44b81f066c983c4.jpg";"/userdata/gfx/8a965cb76153feaa20fe3b85391df60f.jpg";"/userdata/gfx/235c238b327b40ae905e6a233bb922bb.jpg";"Waga: 1,90 - 2,30g";"z brylantami";"580"
"1521779876-351";"https://sklep.bestdiamonds.pl/userdata/gfx/6bcea3d6c5859c8629bf80e8ebc5a0d9.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/a7b43cb3a4d2e465deee92add7d191f2.jpg";"Pierścionek EY-171 0,12ct";"EY-171 0,12ct";"Brylant 0,12ct H/Si";"/userdata/gfx/6bcea3d6c5859c8629bf80e8ebc5a0d9.jpg";"/userdata/gfx/a7b43cb3a4d2e465deee92add7d191f2.jpg";"/userdata/gfx/f1227cc071c9be47beb8b25d3afd0471.jpg";"/userdata/gfx/13c077341d8d0ac29e4d4229abda1b73.jpg";"Waga: 1,30 - 1,70g";"z brylantami";"740"
"1521779247-57";"https://sklep.bestdiamonds.pl/userdata/gfx/d39a1f501a1074cbe29b963946d48b19.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/b5e1526fd280ee64cf2793b9238e3bc8.jpg";"Pierścionek EY-67 rubin";"EY-67 rubin";"Kamień centralny: rubin 0,60 ct
Kamienie boczne: brylanty 0,05 ct H/Si";"/userdata/gfx/d39a1f501a1074cbe29b963946d48b19.jpg";"/userdata/gfx/b5e1526fd280ee64cf2793b9238e3bc8.jpg";"/userdata/gfx/51310e689191df2d7f06f3bb261202f1.jpg";"/userdata/gfx/cec357052d233d941e3f03205f763ce3.jpg";"Waga: 2,00 - 2,40g";"z rubinem";"640"
